attack,dataset,dataset_key,fasc_abs_reduction,fasc_rel_reduction_pct,group_count,iasr_abs_improvement,iasr_rel_improvement_pct,missing_files,missing_rankings,missing_rankings_count,paper_compsp_fasc,paper_compsp_fasc_abs_reduction,paper_compsp_iasr,paper_compsp_iasr_abs_improvement,paper_random_fasc,paper_random_fasc_delta,paper_random_iasr,paper_random_iasr_delta,question_count,random_fasc,random_iasr,random_question_count,ranked_fasc,ranked_group_count,ranked_iasr,target_model
ofa,jbb,jbb-4omini-ofa,,,80,,,[],[],0,1.8,10.8362991023781,79.7,9.332935000000006,12.7,-0.06370089762189934,70.4,-0.03293500000000904,20,12.6362991023781,70.367065,20,,0,,4omini
ofa,hb,hb-4omini-ofa,,,79,,,[],[],0,14.7,52.74949540207362,49.7,7.243843421052631,63.3,4.149495402073626,42.5,-0.04384342105262817,20,67.44949540207362,42.45615657894737,19,,0,,4omini
pair,jbb,jbb-4omini-pair,80.34636349915993,74.55333157485069,80,12.704174999999992,20.360617076543168,[],[],0,,,,,,,,,20,107.77031931630461,62.395825,20,27.423955817144673,80,75.1,4omini
drattack,jbb,jbb-4omini-drattack,10.126085767838545,43.01198521147626,80,7.136180000000003,12.52207011831444,[],[],0,,,,,,,,,20,23.54247477314009,56.98882,20,13.416389005301545,80,64.125,4omini
ofa,jbb,jbb-llama-ofa,,,80,,,[],[],0,1.4,9.522090636028059,79.2,14.054691250000005,10.9,0.022090636028059052,65.2,-0.05469125000000474,20,10.92209063602806,65.14530875,20,,0,,llama
ofa,hb,hb-llama-ofa,,,79,,,[],[],0,10.1,17.04650911126469,48.5,13.43021842105263,25.4,1.7465091112646896,35.6,-0.5302184210526306,20,27.146509111264688,35.06978157894737,19,,0,,llama
pair,jbb,jbb-llama-pair,79.34853610653236,74.5943805529621,80,10.772426249999995,15.45484717485055,[],[],0,,,,,,,,,20,106.37334276165055,69.70257375,20,27.024806655118187,80,80.475,llama
drattack,jbb,jbb-llama-drattack,22.67344054565017,44.77054852625132,80,4.984237499999999,9.326658653120825,[],[],0,,,,,,,,,20,50.643651445001936,53.4407625,20,27.970210899351766,80,58.425,llama
ofa,jbb,jbb-qwen-ofa,,,80,,,[],[],0,11.9,28.65149983922167,57.8,17.467912499999997,40.7,-0.14850016077833317,40.3,0.03208750000000293,20,40.55149983922167,40.3320875,20,,0,,qwen
ofa,hb,hb-qwen-ofa,,,80,,,[],[],0,16.2,108.9480212026166,41.6,11.645058750000004,127.7,-2.5519787973833985,29.9,0.05494124999999883,20,125.1480212026166,29.954941249999997,20,,0,,qwen
pair,jbb,jbb-qwen-pair,81.12107061026478,74.36918469175812,80,18.451927500000004,32.69556182849036,[],[],0,,,,,,,,,20,109.07887580923678,56.4355725,20,27.957805198971993,80,74.8875,qwen
drattack,jbb,jbb-qwen-drattack,6.628163231635066,47.68343326024906,80,6.851537500000006,14.044075690830137,[],[],0,,,,,,,,,20,13.90034814703786,48.7859625,20,7.272184915402795,80,55.6375,qwen
